Seller,Relationship,Customer1,Relationship,Customer2,SellerJurisdiction,SellerBUNature,CustomerJurisdiction1,CustomerBUNature1,CustomerJurisdiction2,CustomerBUNature2
3DD593FF986A16E6589B4D7207F30762,Sellto,99C75C967AB8BAE1335096E89974D7B7,,,ZA0104,"Input Service Distributor (ISD),Service Provision,Office \/ Sale Office,Recipient of Goods or Services",ZA0201,Retail Business,,
3DD593FF986A16E6589B4D7207F30762,Sellto,354A40F921FAA6F1D096E13DAA2B3948,,,ZA0104,"Input Service Distributor (ISD),Service Provision,Office \/ Sale Office,Recipient of Goods or Services",ZA0301,"Wholesale Business,Retail Business",,
3DD593FF986A16E6589B4D7207F30762,Sellto,059682B62C29C86EC2BE1AC5893AC30C,,,ZA0104,"Input Service Distributor (ISD),Service Provision,Office \/ Sale Office,Recipient of Goods or Services",ZA0401,"Warehouse \/ Depot,Retail Business",,
3DD593FF986A16E6589B4D7207F30762,Sellto,AE6D69F420F55B8314120C55C45E2941,,,ZA0104,"Input Service Distributor (ISD),Service Provision,Office \/ Sale Office,Recipient of Goods or Services",ZA0403,Others,,
3DD593FF986A16E6589B4D7207F30762,Sellto,D70094F1519D3FE70EBDEA4CE5CDD25A,,,ZA0104,"Input Service Distributor (ISD),Service Provision,Office \/ Sale Office,Recipient of Goods or Services",ZA0404,Others,,
3DD593FF986A16E6589B4D7207F30762,Sellto,D14B27DD6CE5D74CFFE0BE490039CAB6,,,ZA0104,"Input Service Distributor (ISD),Service Provision,Office \/ Sale Office,Recipient of Goods or Services",ZA0101,"Retail Business,Wholesale Business",,
3DD593FF986A16E6589B4D7207F30762,Sellto,BC9F650FC75A6238E9F83F0E4C912F57,,,ZA0104,"Input Service Distributor (ISD),Service Provision,Office \/ Sale Office,Recipient of Goods or Services",ZA0101,"Retail Business,Wholesale Business",,
3DD593FF986A16E6589B4D7207F30762,Sellto,4FCAF06FED620171E22FEC5D065607A9,,,ZA0104,"Input Service Distributor (ISD),Service Provision,Office \/ Sale Office,Recipient of Goods or Services",ZA0401,Retail Business,,
3DD593FF986A16E6589B4D7207F30762,Sellto,AA6F379268A27DD456C32EF6FB53AE20,,,ZA0104,"Input Service Distributor (ISD),Service Provision,Office \/ Sale Office,Recipient of Goods or Services",ZA0101,"Service Provision,Retail Business",,
3DD593FF986A16E6589B4D7207F30762,Sellto,6FBB1A14E3969C9B2D439391B199ED00,SellTo,39D447087F9231EC612599F86AD6A7B9,ZA0104,"Input Service Distributor (ISD),Service Provision,Office \/ Sale Office,Recipient of Goods or Services",ZA0201,Retail Business,ZA0401,"Office \/ Sale Office,Wholesale Business"
8C2C06BA41C176A39F943F3CE5A581DF,Sellto,C9259D6BE1C6F32D673D2D006FC26DAE,SellTo,397195073E219D4D1204102F9CF2F6B4,ZO0304,"Warehouse \/ Depot,Office \/ Sale Office,Retail Business,Factory \/ Manufacturing,Works Contract",ZA0402,"Wholesale Business,Retail Business",ZA0401,"Retail Business,Service Provision"
F93ABADF9D74DA1054AB5DBBCAC4030F,Sellto,C9259D6BE1C6F32D673D2D006FC26DAE,,,YW0401,"Works Contract,Service Provision,Warehouse \/ Depot,Factory \/ Manufacturing",ZA0402,"Wholesale Business,Retail Business",,
55E07934F1B1B53C07137C9C6338CC34,Sellto,C9259D6BE1C6F32D673D2D006FC26DAE,,,YW0101,"Input Service Distributor (ISD),Office \/ Sale Office,Warehouse \/ Depot,Factory \/ Manufacturing,Works Contract",ZA0402,"Wholesale Business,Retail Business",,
702C221225285C7AE27216A5C74A6994,Sellto,C9259D6BE1C6F32D673D2D006FC26DAE,,,YP0402,Warehouse \/ Depot,ZA0402,"Wholesale Business,Retail Business",,
